date,value
1,20.31
2,25.32
3,28.34
6,26.08
7,23.63
8,25.09
9,22.76
13,22.41
14,20.11
15,19.87
16,21.002
17,20.974
21,11.258
22,13.78
23,16.5
24,16.94
27,12.78
28,12.34
29,15.06
30,18.84
