dia,precipitação(mm),preAcumulado(mm)
1,0.2,0.2
2,0.0,0.2
3,0.0,0.2
4,0.0,0.2
5,0.0,0.2
6,18.0,18.2
7,1.8,20.0
8,0.0,20.0
9,0.0,20.0
10,0.0,20.0
11,30.8,50.8
12,14.2,65.0
13,5.8,70.8
14,18.0,88.8
15,1.0,89.8
16,10.8,100.6
17,0.0,100.6
18,8.8,109.4
19,0.0,109.4
20,18.0,127.4
21,11.4,138.8
22,0.0,138.8
23,0.0,138.8
24,0.0,138.8
25,0.0,138.8
26,0.0,138.8
27,5.6,144.4
28,0.0,144.4
29,10.2,154.6
30,0.2,154.8
31,28.6,183.4
