date,value
2,46.75
3,47.18
4,46.78
5,45.9
6,41.28
9,31.13
10,34.36
11,32.98
12,31.5
13,31.73
16,28.7
17,27.026
18,20.554
19,25.634
20,22.59
23,23.36
24,24.01
25,24.49
26,22.6
27,21.51
30,20.09
31,20.48
