Mês,Preço($)
Jan,57.52
Fev,50.55
Mar,30.48
Abr,19.67
Mai,28.51
Jun,38.33
Jul,40.77
Ago,42.41
Set,39.65
Out,39.58
Nov,41.37
Dez,47.09
